experiment_name,assignment_strategy,n_robots,max_number_of_targets,learning_rate,discount_factor,seed,mean_path_length,mean_distance_to_a_target,time_taken,steps_taken
main_experiment,random,8,5,0.9,0.99,1,23.0,23.9,7.056005239486694,81
main_experiment,random,8,5,0.9,0.99,2,26.0,28.0,7.502220869064331,85
main_experiment,random,8,5,0.9,0.99,3,23.479166666666668,26.4,7.349496841430664,100
main_experiment,random,8,6,0.9,0.99,1,13.9375,22.4,9.455538749694824,96
main_experiment,random,8,6,0.9,0.99,2,34.875,33.3,9.409704685211182,99
main_experiment,random,8,6,0.9,0.99,3,24.833333333333332,27.6,8.345504760742188,90
main_experiment,random,8,7,0.9,0.99,1,21.0625,26.5,8.754733562469482,81
main_experiment,random,8,7,0.9,0.99,2,23.0,25.9,10.143871068954468,80
main_experiment,random,8,7,0.9,0.99,3,26.645833333333336,32.5,8.701530933380127,96
main_experiment,random,8,8,0.9,0.99,1,24.083333333333332,30.6,9.161869525909424,98
main_experiment,random,8,8,0.9,0.99,2,18.666666666666664,21.2,9.147703647613525,65
main_experiment,random,8,8,0.9,0.99,3,16.145833333333336,25.6,9.313432216644287,80
main_experiment,random,8,9,0.9,0.99,1,17.375,21.1,10.852950811386108,71
main_experiment,random,8,9,0.9,0.99,2,35.10416666666667,33.3,10.86598014831543,74
main_experiment,random,8,9,0.9,0.99,3,13.354166666666668,20.1,11.294755697250366,53
main_experiment,random,8,10,0.9,0.99,1,33.5,40.7,10.956559181213379,109
main_experiment,random,8,10,0.9,0.99,2,24.5,29.3,9.864104986190796,78
main_experiment,random,8,10,0.9,0.99,3,37.125,43.9,10.653837203979492,101
main_experiment,random,9,1,0.9,0.99,1,13.333333333333334,20.3,5.171467542648315,245
main_experiment,random,9,1,0.9,0.99,2,13.61111111111111,18.1,5.312824964523315,207
main_experiment,random,9,1,0.9,0.99,3,14.055555555555555,17.5,5.624253273010254,226
main_experiment,random,9,2,0.9,0.99,1,13.574074074074074,17.2,5.769469738006592,151
main_experiment,random,9,2,0.9,0.99,2,5.888888888888889,11.8,8.824547052383423,113
main_experiment,random,9,2,0.9,0.99,3,18.72222222222222,19.8,8.766149997711182,142
main_experiment,random,9,3,0.9,0.99,1,21.555555555555557,26.6,6.592181444168091,148
main_experiment,random,9,3,0.9,0.99,2,14.407407407407407,18.1,5.898016691207886,105
main_experiment,random,9,3,0.9,0.99,3,15.777777777777779,23.5,7.135871410369873,157
main_experiment,random,9,4,0.9,0.99,1,11.185185185185183,16.2,7.6458680629730225,95
main_experiment,random,9,4,0.9,0.99,2,15.259259259259258,22.1,7.33259916305542,123
main_experiment,random,9,4,0.9,0.99,3,15.277777777777779,17.6,7.6623804569244385,113
main_experiment,random,9,5,0.9,0.99,1,18.48148148148148,23.6,8.52793025970459,84
main_experiment,random,9,5,0.9,0.99,2,16.51851851851852,21.3,8.347737550735474,100
main_experiment,random,9,5,0.9,0.99,3,25.444444444444443,31.5,8.502840518951416,123
main_experiment,random,9,6,0.9,0.99,1,16.61111111111111,22.0,8.029732465744019,79
main_experiment,random,9,6,0.9,0.99,2,14.370370370370368,22.8,6.989980220794678,95
main_experiment,random,9,6,0.9,0.99,3,14.648148148148145,21.7,8.21469497680664,101
main_experiment,random,9,7,0.9,0.99,1,28.425925925925924,31.8,10.191378593444824,93
main_experiment,random,9,7,0.9,0.99,2,23.77777777777778,29.8,10.034656047821045,109
main_experiment,random,9,7,0.9,0.99,3,31.0,34.1,11.677295446395874,87
main_experiment,random,9,8,0.9,0.99,1,35.166666666666664,37.9,8.664446830749512,83
main_experiment,random,9,8,0.9,0.99,2,27.185185185185183,34.0,9.267645835876465,95
main_experiment,random,9,8,0.9,0.99,3,22.27777777777778,29.7,8.415902376174927,79
main_experiment,random,9,9,0.9,0.99,1,35.44444444444444,38.4,9.557696104049683,95
main_experiment,random,9,9,0.9,0.99,2,19.72222222222222,27.5,10.064732313156128,76
main_experiment,random,9,9,0.9,0.99,3,12.472222222222221,25.5,9.483404636383057,90
main_experiment,random,9,10,0.9,0.99,1,22.555555555555557,34.3,10.113961458206177,82
main_experiment,random,9,10,0.9,0.99,2,37.833333333333336,40.5,16.270359992980957,102
